name,team,position,rank
Puka Nacua,LAR,WR,1.5
Bijan Robinson,ATL,RB,2
Christian McCaffrey,SF,RB,3
Amon-Ra St. Brown,DET,WR,4
Jonathan Taylor,IND,RB,4.5
Jahmyr Gibbs,DET,RB,7
Jaxon Smith-Njigba,SEA,WR,7
Justin Jefferson,MIN,WR,8
Saquon Barkley,PHI,RB,11.5
CeeDee Lamb,DAL,WR,11.5
James Cook,BUF,RB,11.5
Drake London,ATL,WR,12
Omarion Hampton,LAC,RB,13
Nico Collins,HOU,WR,13.5
Rome Odunze,CHI,WR,14
Devon Achane,MIA,RB,14.5
Bucky Irving,TB,RB,17
Ja'Marr Chase,CIN,WR,17.5
Josh Jacobs,GB,RB,18.5
Ashton Jeanty,LV,RB,20
Garrett Wilson,NYJ,WR,21
Derrick Henry,BAL,RB,23
Quinshon Judkins,CLE,RB,26.5
Kyren Williams,LAR,RB,27
A.J. Brown,PHI,WR,27.5
Davante Adams,LAR,WR,28
Courtland Sutton,DEN,WR,28
Brock Bowers,LV,TE,28
Tetairoa McMillan,CAR,WR,31
Rashee Rice,KC,WR,32
Trey McBride,ARI,TE,32.5
Emeka Egbuka,TB,WR,34
Javonte Williams,DAL,RB,34.5
Zay Flowers,BAL,WR,36.5
Travis Etienne,JAX,RB,36.5
Alvin Kamara,NO,RB,39
George Pickens,DAL,WR,41
Marvin Harrison,ARI,WR,41
Brian Thomas,JAX,WR,42.5
Cam Skattebo,NYG,RB,44.5
Tyler Warren,IND,TE,45
Quentin Johnston,LAC,WR,47
Xavier Worthy,KC,WR,47
Breece Hall,NYJ,RB,47
Chris Olave,NO,WR,49
Ricky Pearsall,SF,WR,50
Jameson Williams,DET,WR,51
Chuba Hubbard,CAR,RB,53
Mike Evans,TB,WR,53
Jaylen Waddle,MIA,WR,55.5
Trey Benson,ARI,RB,56
DK Metcalf,PIT,WR,57
DeVonta Smith,PHI,WR,57
Terry McLaurin,WAS,WR,57
Ladd McConkey,LAC,WR,58
Kenneth Walker,SEA,RB,60
Jakobi Meyers,LV,WR,61.5
Deebo Samuel,WAS,WR,63
Jordan Mason,MIN,RB,63.5
Michael Pittman,IND,WR,66.5
TreVeyon Henderson,NE,RB,67
Chase Brown,CIN,RB,68.5
Tee Higgins,CIN,WR,69
Chris Godwin,TB,WR,69.5
Keenan Allen,LAC,WR,71.5
Jordan Addison,MIN,WR,71.5
DJ Moore,CHI,WR,72
Jake Ferguson,DAL,TE,72.5
Khalil Shakir,BUF,WR,72.5
Tucker Kraft,GB,TE,73
David Montgomery,DET,RB,74
Jaylen Warren,PIT,RB,78.5
J.K. Dobbins,DEN,RB,83
George Kittle,SF,TE,84.5
Travis Kelce,KC,TE,86.5
Tony Pollard,TEN,RB,87
Jauan Jennings,SF,WR,88.5
Sam LaPorta,DET,TE,89
Matthew Golden,GB,WR,89.5
Jerry Jeudy,CLE,WR,89.5
RJ Harvey,DEN,RB,90
Keon Coleman,BUF,WR,90.5
D'Andre Swift,CHI,RB,92.5
Josh Downs,IND,WR,95.5
Darnell Mooney,ATL,WR,96
Travis Hunter,JAX,WR,96.5
Jacory Croskey-Merritt,WAS,RB,99
Zach Charbonnet,SEA,RB,100
Stefon Diggs,NE,WR,100.5
Woody Marks,HOU,RB,103
Dallas Goedert,PHI,TE,105
Rhamondre Stevenson,NE,RB,106.5
Aaron Jones,MIN,RB,106.5
Calvin Ridley,TEN,WR,107
Cedric Tillman,CLE,WR,109
Tre Tucker,LV,WR,109
Bhayshul Tuten,JAX,RB,109.5
Rashid Shaheed,NO,WR,110.5
Cooper Kupp,SEA,WR,115
Kareem Hunt,KC,RB,116
Elic Ayomanor,TEN,WR,116.5
Tyrone Tracy,NYG,RB,118
Brandon Aiyuk,SF,WR,119
Kyle Pitts,ATL,TE,119.5
Rachaad White,TB,RB,120.5
Nick Chubb,HOU,RB,121
Kenneth Gainwell,PIT,RB,122
Isiah Pacheco,KC,RB,126.5
Jeremy McNichols,WAS,RB,127
Joe Mixon,HOU,RB,127.5
Marquise Brown,KC,WR,130.5
Tyjae Spears,TEN,RB,130.5
Zach Ertz,WAS,TE,130.5
Chris Rodriguez,WAS,RB,132
Juwan Johnson,NO,TE,132.5
Jayden Reed,GB,WR,133.5
T.J. Hockenson,MIN,TE,134.5
Hunter Henry,NE,TE,135
Kayshon Boutte,NE,WR,136
Mark Andrews,BAL,TE,136
Justice Hill,BAL,RB,136
Dylan Sampson,CLE,RB,137.5
Jayden Higgins,HOU,WR,138.5
Darren Waller,MIA,TE,141
Rashod Bateman,BAL,WR,141.5
Troy Franklin,DEN,WR,142.5
Ollie Gordon II,MIA,RB,144
Tyler Allgeier,ATL,RB,146.5
Tory Horton,SEA,WR,149
Blake Corum,LAR,RB,149.5
Dont'e Thornton Jr.,LV,WR,152.5
Dalton Kincaid,BUF,TE,152.5
Luther Burden,CHI,WR,155
Marvin Mims,DEN,WR,155.5
Harold Fannin,CLE,TE,156
Braelon Allen,NYJ,RB,156.5
Adam Thielen,CAR,WR,157
Jack Bech,LV,WR,158.5
Brian Robinson,WAS,RB,164
Ray Davis,BUF,RB,166.5
David Njoku,CLE,TE,167.5
Jerome Ford,CLE,RB,167.5
Brenton Strange,JAX,TE,168
Rico Dowdle,CAR,RB,170
Chigoziem Okonkwo,TEN,TE,171
Tank Bigsby,JAX,RB,174.5
Roschon Johnson,CHI,RB,176
Jalen Coker,CAR,WR,176.5
Evan Engram,DEN,TE,176.5
Jaydon Blue,DAL,RB,176.5
