Player Name,Position,Matchup Light,Offense Light,Vegas Light
Ja'Marr Chase,WR,YELLOW,YELLOW,RED
Saquon Barkley,RB,YELLOW,RED,YELLOW
Bijan Robinson,RB,YELLOW,GREEN,YELLOW
Justin Jefferson,WR,YELLOW,YELLOW,YELLOW
Jahmyr Gibbs,RB,YELLOW,GREEN,GREEN
CeeDee Lamb,WR,YELLOW,GREEN,GREEN
Puka Nacua,WR,GREEN,GREEN,YELLOW
Ashton Jeanty,RB,YELLOW,YELLOW,RED
Amon-Ra St. Brown,WR,YELLOW,GREEN,GREEN
Malik Nabers,WR,RED,YELLOW,RED
Christian McCaffrey,RB,RED,GREEN,GREEN
Derrick Henry,RB,BYE,BYE,BYE
Nico Collins,WR,YELLOW,YELLOW,RED
Brian Thomas,WR,RED,YELLOW,YELLOW
Devon Achane,RB,RED,YELLOW,RED
Brock Bowers,TE,RED,YELLOW,RED
A.J. Brown,WR,RED,RED,YELLOW
Drake London,WR,YELLOW,RED,YELLOW
Jonathan Taylor,RB,YELLOW,GREEN,YELLOW
Bucky Irving,RB,RED,GREEN,YELLOW
Josh Jacobs,RB,YELLOW,GREEN,GREEN
Ladd McConkey,WR,GREEN,GREEN,GREEN
Trey McBride,TE,GREEN,GREEN,RED
Josh Allen,QB,BYE,BYE,BYE
Tee Higgins,WR,YELLOW,YELLOW,RED
Lamar Jackson,QB,BYE,BYE,BYE
Kyren Williams,RB,YELLOW,YELLOW,YELLOW
Chase Brown,RB,YELLOW,RED,RED
Jaxon Smith-Njigba,WR,RED,GREEN,YELLOW
Tyreek Hill,WR,YELLOW,YELLOW,RED
Jayden Daniels,QB,GREEN,YELLOW,GREEN
Garrett Wilson,WR,RED,RED,RED
Terry McLaurin,WR,GREEN,YELLOW,GREEN
Breece Hall,RB,YELLOW,RED,RED
James Cook,RB,BYE,BYE,BYE
Davante Adams,WR,GREEN,GREEN,YELLOW
Marvin Harrison,WR,YELLOW,RED,RED
Mike Evans,WR,GREEN,GREEN,YELLOW
Jalen Hurts,QB,RED,GREEN,YELLOW
George Kittle,TE,RED,GREEN,GREEN
Rashee Rice,WR,GREEN,GREEN,GREEN
Joe Mixon,RB,YELLOW,YELLOW,RED
Joe Burrow,QB,GREEN,RED,RED
